2000-2005	SEER	Baseline	Incidence	Rates	Whites														
Male_rate_	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
Male_se___	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
00-00__yrs	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	2.4420E-01	0.0000E+00	0.0000E+00	3.9100E-02	0.0000E+00	0.0000E+00	0.0000E+00	5.5300E-02	5.5300E-02	2.7380E-01	3.9110E-01	0.0000E+00	4.4590E-01	6.9630E-01
01-04__yrs	2.4600E-02	0.0000E+00	0.0000E+00	1.0000E-02	1.0000E-02	7.6500E-02	1.0000E-02	0.0000E+00	2.6600E-02	0.0000E+00	0.0000E+00	0.0000E+00	2.4600E-02	2.4600E-02	1.3810E-01	2.1300E-01	1.0000E-02	3.2840E-01	2.1470E-01
05-09__yrs	2.8400E-02	0.0000E+00	7.9000E-03	7.9000E-03	0.0000E+00	3.1600E-02	7.9000E-03	7.9000E-03	1.1200E-02	0.0000E+00	0.0000E+00	0.0000E+00	1.1200E-02	1.5800E-02	5.9000E-02	1.6710E-01	2.4900E-02	1.9000E-01	1.2620E-01
10-14__yrs	3.5000E-02	0.0000E+00	7.6000E-03	2.0200E-02	7.6000E-03	2.5300E-02	0.0000E+00	7.6000E-03	1.7100E-02	0.0000E+00	0.0000E+00	0.0000E+00	7.6000E-03	1.8700E-02	3.1400E-02	1.5350E-01	3.7400E-02	1.6180E-01	1.7190E-01
15-19__yrs	5.7200E-02	0.0000E+00	1.3700E-02	3.7200E-02	2.7500E-02	2.9700E-02	7.9000E-03	2.2400E-02	3.2700E-02	0.0000E+00	0.0000E+00	0.0000E+00	2.1000E-02	3.0700E-02	3.2700E-02	1.3930E-01	7.3900E-02	1.7990E-01	2.8740E-01
20-24__yrs	6.6900E-02	1.5800E-02	3.5200E-02	6.3500E-02	4.5300E-02	4.0900E-02	0.0000E+00	1.9300E-02	4.9200E-02	7.9000E-03	0.0000E+00	0.0000E+00	1.1100E-02	4.9200E-02	4.3200E-02	1.4420E-01	9.7200E-02	1.5300E-01	3.8060E-01
25-29__yrs	8.7200E-02	2.5700E-02	6.6100E-02	1.0090E-01	7.9700E-02	3.2500E-02	2.9300E-02	3.4500E-02	6.8000E-02	1.1500E-02	0.0000E+00	0.0000E+00	1.8200E-02	7.0000E-02	8.0500E-02	1.6610E-01	1.4090E-01	1.4930E-01	4.5540E-01
30-34__yrs	1.1090E-01	4.5600E-02	8.8300E-02	1.4010E-01	1.1450E-01	4.8100E-02	2.6300E-02	5.3200E-02	8.9600E-02	2.4000E-02	0.0000E+00	0.0000E+00	2.0100E-02	9.9700E-02	1.1720E-01	1.7660E-01	1.6260E-01	1.5990E-01	4.8350E-01
35-39__yrs	1.5570E-01	7.0300E-02	1.1150E-01	1.8460E-01	1.7570E-01	6.8700E-02	4.7500E-02	8.6600E-02	1.5460E-01	2.9900E-02	0.0000E+00	0.0000E+00	7.0300E-02	1.3420E-01	1.7450E-01	1.8330E-01	1.9680E-01	1.6790E-01	5.0820E-01
