FRANCE_(2003-2007)_all cancer_registries_IARC_CI5-X																			
Male_rate_	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
00-00__yrs	2.2504E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	3.7506E-01	0.0000E+00	7.5013E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.5003E-01	1.5003E+00	2.4004E+00	7.5013E-02	6.9012E+00	7.7263E+00
01-04__yrs	2.2504E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	3.7506E-01	0.0000E+00	7.5013E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.5003E-01	1.5003E+00	2.4004E+00	7.5013E-02	6.9012E+00	7.7263E+00
05-09__yrs	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.5305E-01	0.0000E+00	7.6526E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	6.1221E-01	2.1427E+00	0.0000E+00	4.7446E+00	3.2906E+00
10-14__yrs	7.6013E-02	0.0000E+00	0.0000E+00	7.6013E-02	0.0000E+00	7.6013E-02	0.0000E+00	0.0000E+00	7.6013E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	7.6013E-02	1.4442E+00	3.0405E-01	1.7483E+00	3.4966E+00
15-19__yrs	4.3128E-01	0.0000E+00	1.4376E-01	4.3128E-01	0.0000E+00	7.1880E-02	0.0000E+00	7.1880E-02	1.4376E-01	0.0000E+00	0.0000E+00	0.0000E+00	7.1880E-02	7.1880E-02	7.1880E-02	8.6256E-01	1.2220E+00	3.6659E+00	9.3444E+00
20-24__yrs	5.7082E-01	0.0000E+00	0.0000E+00	4.9947E-01	0.0000E+00	2.8541E-01	0.0000E+00	7.1352E-02	2.1406E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	4.9947E-01	4.2811E-01	1.8552E+00	1.5698E+00	2.0692E+00	1.8623E+01
25-29__yrs	8.2110E-01	0.0000E+00	1.4929E-01	2.9858E-01	5.2252E-01	6.7181E-01	0.0000E+00	1.4929E-01	5.9717E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	4.4787E-01	9.7039E-01	2.9858E+00	3.5083E+00	2.1647E+00	2.7843E+01
30-34__yrs	9.6793E-01	1.3828E-01	7.6052E-01	1.5210E+00	1.1753E+00	2.7655E-01	6.9138E-02	5.5310E-01	2.0741E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.3828E-01	4.8397E-01	2.2124E+00	3.8717E+00	3.3186E+00	3.1112E+00	3.4223E+01
35-39__yrs	4.1703E+00	6.7263E-01	1.8834E+00	3.6995E+00	2.0179E+00	7.3990E-01	2.6905E-01	1.0762E+00	5.5829E+00	6.7263E-02	0.0000E+00	0.0000E+00	6.7263E-02	1.3453E+00	4.2376E+00	4.5739E+00	4.3721E+00	3.5650E+00	3.3699E+01
40-44__yrs	1.4528E+01	2.6903E+00	3.9682E+00	6.6585E+00	5.7169E+00	2.4213E+00	3.3629E-01	3.4301E+00	1.9908E+01	2.0177E-01	0.0000E+00	0.0000E+00	1.8159E+00	3.7664E+00	8.2054E+00	4.9770E+00	5.8514E+00	4.0354E+00	3.8673E+01
45-49__yrs	4.8861E+01	1.0177E+01	7.5278E+00	1.3522E+01	1.3871E+01	7.3884E+00	9.0613E-01	5.6459E+00	6.0850E+01	8.3643E-01	0.0000E+00	0.0000E+00	1.6032E+01	1.1780E+01	1.4986E+01	6.6217E+00	6.2035E+00	5.7853E+00	5.6738E+01
50-54__yrs	8.4030E+01	2.4241E+01	1.1944E+01	2.8764E+01	2.5725E+01	1.7244E+01	1.9082E+00	1.2368E+01	1.2043E+02	9.8942E-01	0.0000E+00	0.0000E+00	1.0707E+02	2.6573E+01	2.6573E+01	1.0884E+01	9.6115E+00	9.0461E+00	7.8800E+01
