2000-2005	SEER	Baseline	Incidence	Rates	Blacks														
Male_rate_	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
00-00__yrs	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	2.2590E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.1294E+00	2.0330E+00	0.0000E+00	3.3883E+00	7.4542E+00
01-04__yrs	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	3.4300E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.7150E-01	0.0000E+00	2.1150E+00	2.9153E+00	0.0000E+00	5.2017E+00	4.0585E+00
05-09__yrs	1.7430E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	8.7200E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	4.3600E-02	0.0000E+00	2.6150E-01	2.6151E+00	4.3600E-02	2.1793E+00	1.6126E+00
10-14__yrs	5.3680E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	8.2600E-02	0.0000E+00	0.0000E+00	1.2390E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.6520E-01	1.8582E+00	2.0650E-01	2.4363E+00	2.8493E+00
15-19__yrs	7.8120E-01	0.0000E+00	4.6000E-02	1.8380E-01	4.6000E-02	1.8380E-01	0.0000E+00	4.6000E-02	4.6000E-02	0.0000E+00	0.0000E+00	0.0000E+00	4.6000E-02	4.6000E-02	2.2980E-01	1.6084E+00	1.3790E-01	1.9301E+00	4.4116E+00
20-24__yrs	6.0640E-01	5.0500E-02	1.0110E-01	4.0430E-01	5.0500E-02	2.0210E-01	0.0000E+00	1.5160E-01	2.5270E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.0110E-01	4.5480E-01	1.3645E+00	6.0640E-01	2.3247E+00	6.0644E+00
25-29__yrs	9.5960E-01	5.6400E-02	7.3380E-01	9.0320E-01	9.0320E-01	5.0800E-01	0.0000E+00	1.1290E-01	6.7740E-01	1.1290E-01	0.0000E+00	0.0000E+00	1.1290E-01	3.3870E-01	8.4670E-01	1.3548E+00	1.1854E+00	2.8789E+00	1.1064E+01
30-34__yrs	1.8791E+00	1.0740E-01	1.0201E+00	2.4697E+00	2.0939E+00	1.0738E+00	5.3700E-02	5.9060E-01	1.3959E+00	2.1480E-01	0.0000E+00	0.0000E+00	3.7580E-01	8.0530E-01	2.2013E+00	1.9328E+00	1.5033E+00	3.3825E+00	1.6375E+01
35-39__yrs	3.3442E+00	3.1350E-01	2.2991E+00	5.6433E+00	5.9568E+00	1.6721E+00	1.5680E-01	1.9334E+00	3.9712E+00	2.0900E-01	0.0000E+00	0.0000E+00	1.6721E+00	2.0901E+00	5.5911E+00	2.5604E+00	1.8811E+00	3.8667E+00	1.9961E+01
40-44__yrs	8.8961E+00	2.5947E+00	5.0305E+00	1.2762E+01	8.8961E+00	3.7067E+00	4.7660E-01	3.3890E+00	1.9116E+01	6.8840E-01	0.0000E+00	0.0000E+00	2.1711E+01	3.6538E+00	9.9022E+00	3.2831E+00	2.3299E+00	5.1894E+00	2.5206E+01
