2000-2005	SEER	Baseline	Incidence	Rates	Blacks														
45-49__yrs	2.1887E+01	5.5177E+00	8.7670E+00	2.3910E+01	1.6308E+01	1.5327E+01	1.7166E+00	8.8283E+00	5.2418E+01	1.2875E+00	0.0000E+00	0.0000E+00	8.6567E+01	7.9087E+00	1.9312E+01	5.0272E+00	2.8815E+00	6.4986E+00	2.9550E+01
50-54__yrs	3.7372E+01	1.4081E+01	1.6060E+01	5.3812E+01	2.9684E+01	3.2196E+01	1.9028E+00	1.8648E+01	1.1151E+02	1.6745E+00	0.0000E+00	0.0000E+00	2.5673E+02	1.5299E+01	3.3794E+01	5.3279E+00	5.4040E+00	7.6113E+00	4.1558E+01
55-59__yrs	5.3540E+01	2.5295E+01	2.3503E+01	9.0217E+01	4.0261E+01	3.8680E+01	4.6373E+00	3.2356E+01	2.1669E+02	3.8996E+00	0.0000E+00	0.0000E+00	5.9147E+02	3.1407E+01	5.0800E+01	8.5369E+00	6.5344E+00	1.1383E+01	6.6293E+01
60-64__yrs	6.0157E+01	3.7020E+01	4.2226E+01	1.4403E+02	5.5240E+01	3.8466E+01	6.6520E+00	4.3672E+01	3.4026E+02	5.6397E+00	0.0000E+00	0.0000E+00	9.5051E+02	4.2370E+01	6.6230E+01	9.8333E+00	6.2181E+00	1.6196E+01	8.7632E+01
65-69__yrs	6.2843E+01	4.6335E+01	6.3969E+01	1.9472E+02	6.9221E+01	3.9769E+01	1.0693E+01	7.1847E+01	4.6372E+02	6.3781E+00	0.0000E+00	0.0000E+00	1.3336E+03	7.7287E+01	8.5354E+01	1.1631E+01	8.4416E+00	2.1198E+01	1.0336E+02
70-74__yrs	6.8430E+01	4.7977E+01	8.2823E+01	2.5478E+02	8.0046E+01	4.2927E+01	1.2626E+01	9.1156E+01	5.8734E+02	6.3127E+00	0.0000E+00	0.0000E+00	1.3997E+03	1.0429E+02	8.6358E+01	1.6161E+01	7.8278E+00	3.3331E+01	1.2171E+02
75-79__yrs	5.5859E+01	5.3737E+01	1.1101E+02	3.3727E+02	9.5101E+01	3.8889E+01	1.7323E+01	8.2727E+01	6.7596E+02	8.8384E+00	0.0000E+00	0.0000E+00	1.3629E+03	1.3894E+02	9.4040E+01	1.8737E+01	7.4242E+00	4.0303E+01	1.4636E+02
80-84__yrs	5.7120E+01	4.2548E+01	1.3872E+02	4.0450E+02	1.0724E+02	5.1874E+01	2.0983E+01	1.0724E+02	6.6795E+02	8.7428E+00	0.0000E+00	0.0000E+00	1.1272E+03	1.6262E+02	1.0200E+02	1.8651E+01	6.4114E+00	4.4880E+01	1.1890E+02
>=85___yrs	3.3776E+01	3.7071E+01	1.3346E+02	4.0778E+02	7.6614E+01	3.2952E+01	2.2243E+01	8.4852E+01	5.1076E+02	9.0619E+00	0.0000E+00	0.0000E+00	9.6468E+02	1.6723E+02	7.6614E+01	9.8857E+00	4.9428E+00	4.7781E+01	1.1369E+02
Male_se___	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
00-00__yrs	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	2.2590E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	5.0510E-01	6.7770E-01	0.0000E+00	8.7480E-01	1.2976E+00
01-04__yrs	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.4000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	9.9000E-02	0.0000E+00	3.4770E-01	4.0820E-01	0.0000E+00	5.4530E-01	4.8170E-01
05-09__yrs	8.7200E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	6.1600E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	4.3600E-02	0.0000E+00	1.0680E-01	3.3760E-01	4.3600E-02	3.0820E-01	2.6510E-01
10-14__yrs	1.4890E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	5.8400E-02	0.0000E+00	0.0000E+00	7.1500E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	8.2600E-02	2.7700E-01	9.2300E-02	3.1720E-01	3.4300E-01
15-19__yrs	1.8950E-01	0.0000E+00	4.6000E-02	9.1900E-02	4.6000E-02	9.1900E-02	0.0000E+00	4.6000E-02	4.6000E-02	0.0000E+00	0.0000E+00	0.0000E+00	4.6000E-02	4.6000E-02	1.0280E-01	2.7190E-01	7.9600E-02	2.9780E-01	4.5030E-01
20-24__yrs	1.7510E-01	5.0500E-02	7.1500E-02	1.4290E-01	5.0500E-02	1.0110E-01	0.0000E+00	8.7500E-02	1.1300E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	7.1500E-02	1.5160E-01	2.6260E-01	1.7510E-01	3.4280E-01	5.5360E-01
25-29__yrs	2.3270E-01	5.6400E-02	2.0350E-01	2.2580E-01	2.2580E-01	1.6930E-01	0.0000E+00	7.9800E-02	1.9550E-01	7.9800E-02	0.0000E+00	0.0000E+00	7.9800E-02	1.3830E-01	2.1860E-01	2.7650E-01	2.5870E-01	4.0310E-01	7.9030E-01
30-34__yrs	3.1760E-01	7.5900E-02	2.3400E-01	3.6410E-01	3.3530E-01	2.4010E-01	5.3700E-02	1.7810E-01	2.7380E-01	1.0740E-01	0.0000E+00	0.0000E+00	1.4210E-01	2.0790E-01	3.4380E-01	3.2210E-01	2.8410E-01	4.2620E-01	9.3770E-01
35-39__yrs	4.1800E-01	1.2800E-01	3.4660E-01	5.4300E-01	5.5790E-01	2.9560E-01	9.0500E-02	3.1780E-01	4.5550E-01	1.0450E-01	0.0000E+00	0.0000E+00	2.9560E-01	3.3050E-01	5.4050E-01	3.6580E-01	3.1350E-01	4.4950E-01	1.0213E+00
40-44__yrs	6.8630E-01	3.7070E-01	5.1610E-01	8.2210E-01	6.8630E-01	4.4300E-01	1.5890E-01	4.2360E-01	1.0061E+00	1.9090E-01	0.0000E+00	0.0000E+00	1.0722E+00	4.3990E-01	7.2410E-01	4.1700E-01	3.5130E-01	5.2420E-01	1.1553E+00
45-49__yrs	1.1584E+00	5.8160E-01	7.3310E-01	1.2107E+00	9.9990E-01	9.6940E-01	3.2440E-01	7.3570E-01	1.7927E+00	2.8090E-01	0.0000E+00	0.0000E+00	2.3037E+00	6.9630E-01	1.0881E+00	5.5520E-01	4.2030E-01	6.3120E-01	1.3460E+00
50-54__yrs	1.6866E+00	1.0353E+00	1.1056E+00	2.0238E+00	1.5031E+00	1.5654E+00	3.8060E-01	1.1914E+00	2.9133E+00	3.5700E-01	0.0000E+00	0.0000E+00	4.4205E+00	1.0791E+00	1.6038E+00	6.3680E-01	6.4130E-01	7.6110E-01	1.7785E+00
55-59__yrs	2.3755E+00	1.6328E+00	1.5739E+00	3.0836E+00	2.0599E+00	2.0191E+00	6.9910E-01	1.8467E+00	4.7789E+00	6.4110E-01	0.0000E+00	0.0000E+00	7.8954E+00	1.8194E+00	2.3139E+00	9.4850E-01	8.2990E-01	1.0953E+00	2.6433E+00
60-64__yrs	2.9494E+00	2.3137E+00	2.4711E+00	4.5637E+00	2.8263E+00	2.3585E+00	9.8080E-01	2.5130E+00	7.0146E+00	9.0310E-01	0.0000E+00	0.0000E+00	1.1724E+01	2.4753E+00	3.0947E+00	1.1925E+00	9.4830E-01	1.5304E+00	3.5598E+00
65-69__yrs	3.4335E+00	2.9482E+00	3.4641E+00	6.0438E+00	3.6035E+00	2.7314E+00	1.4163E+00	3.6712E+00	9.3269E+00	1.0938E+00	0.0000E+00	0.0000E+00	1.5817E+01	3.8077E+00	4.0014E+00	1.4771E+00	1.2584E+00	1.9941E+00	4.4034E+00
70-74__yrs	4.1568E+00	3.4806E+00	4.5731E+00	8.0209E+00	4.4958E+00	3.2923E+00	1.7855E+00	4.7977E+00	1.2178E+01	1.2625E+00	0.0000E+00	0.0000E+00	1.8800E+01	5.1316E+00	4.6697E+00	2.0201E+00	1.4059E+00	2.9011E+00	5.5437E+00
75-79__yrs	4.4439E+00	4.3587E+00	6.2647E+00	1.0920E+01	5.7984E+00	3.7079E+00	2.4747E+00	5.4080E+00	1.5459E+01	1.7677E+00	0.0000E+00	0.0000E+00	2.1951E+01	7.0086E+00	5.7660E+00	2.5738E+00	1.6201E+00	3.7747E+00	7.1934E+00
80-84__yrs	5.7699E+00	4.9799E+00	8.9918E+00	1.5355E+01	7.9062E+00	5.4986E+00	3.4971E+00	7.9062E+00	1.9731E+01	2.2574E+00	0.0000E+00	0.0000E+00	2.5632E+01	9.7356E+00	7.7104E+00	3.2971E+00	1.9331E+00	5.1145E+00	8.3248E+00
>=85___yrs	5.2749E+00	5.5262E+00	1.0485E+01	1.8329E+01	7.9445E+00	5.2102E+00	4.2806E+00	8.3607E+00	2.0513E+01	2.7323E+00	0.0000E+00	0.0000E+00	2.8191E+01	1.1737E+01	7.9445E+00	2.8537E+00	2.0179E+00	6.2739E+00	9.6775E+00
Fem_rate__	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
00-00__yrs	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	7.0420E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.8778E+00	3.0515E+00	0.0000E+00	4.2251E+00	8.2155E+00
01-04__yrs	5.9300E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.1850E-01	0.0000E+00	0.0000E+00	5.9300E-02	0.0000E+00	0.0000E+00	5.9300E-02	0.0000E+00	1.1850E-01	1.7189E+00	3.2007E+00	0.0000E+00	3.3785E+00	3.9120E+00
05-09__yrs	4.5200E-02	4.5200E-02	0.0000E+00	0.0000E+00	0.0000E+00	4.5200E-02	0.0000E+00	4.5200E-02	4.5200E-02	0.0000E+00	0.0000E+00	9.0400E-02	0.0000E+00	4.5200E-02	9.4930E-01	2.2603E+00	0.0000E+00	2.3507E+00	1.5822E+00
10-14__yrs	1.7070E-01	0.0000E+00	0.0000E+00	4.2700E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	8.5300E-02	1.2800E-01	5.9730E-01	0.0000E+00	4.2700E-02	2.1330E-01	1.8346E+00	2.9870E-01	1.7493E+00	3.0292E+00
15-19__yrs	4.7500E-01	0.0000E+00	0.0000E+00	4.7500E-02	9.5000E-02	1.4250E-01	0.0000E+00	0.0000E+00	1.4250E-01	3.3250E-01	2.3750E-01	1.1876E+00	0.0000E+00	0.0000E+00	2.3750E-01	1.1401E+00	6.6510E-01	1.9002E+00	2.8502E+00
20-24__yrs	7.5940E-01	0.0000E+00	2.5310E-01	7.5940E-01	3.0380E-01	1.5190E-01	0.0000E+00	5.0600E-02	3.5440E-01	2.0251E+00	2.1770E+00	8.6070E-01	0.0000E+00	1.0130E-01	5.0630E-01	1.0632E+00	2.9871E+00	1.5695E+00	4.5565E+00
25-29__yrs	1.0455E+00	0.0000E+00	3.6590E-01	7.3190E-01	7.8410E-01	2.0910E-01	0.0000E+00	1.0460E-01	3.6590E-01	1.0351E+01	7.3710E+00	1.4115E+00	0.0000E+00	1.0460E-01	1.1501E+00	1.3592E+00	5.6459E+00	1.5160E+00	5.1231E+00
30-34__yrs	1.3724E+00	4.9000E-02	9.3130E-01	3.1860E+00	1.3724E+00	2.4510E-01	1.9610E-01	4.4110E-01	1.2254E+00	3.1370E+01	1.2940E+01	2.7939E+00	0.0000E+00	2.9410E-01	1.9116E+00	1.8136E+00	7.6464E+00	2.6468E+00	6.7641E+00
35-39__yrs	2.5159E+00	1.8990E-01	1.4715E+00	5.3166E+00	3.0855E+00	6.6460E-01	3.3230E-01	7.1200E-01	4.8893E+00	6.6077E+01	1.8513E+01	4.8419E+00	0.0000E+00	4.7470E-01	2.7057E+00	1.9937E+00	1.0681E+01	2.6108E+00	9.6362E+00
40-44__yrs	4.1556E+00	8.1200E-01	3.4869E+00	1.1559E+01	6.3050E+00	8.5980E-01	6.2090E-01	2.5793E+00	1.6575E+01	1.1898E+02	2.5172E+01	6.3050E+00	0.0000E+00	1.6718E+00	5.4930E+00	2.1972E+00	1.0556E+01	3.1525E+00	1.2276E+01
45-49__yrs	8.5667E+00	2.7478E+00	4.5797E+00	2.4084E+01	1.1153E+01	3.0711E+00	1.7241E+00	7.1658E+00	3.6045E+01	1.8065E+02	3.1681E+01	1.0614E+01	0.0000E+00	2.5323E+00	8.8360E+00	3.0172E+00	1.2123E+01	4.7952E+00	1.9989E+01
50-54__yrs	1.1577E+01	3.6866E+00	7.5026E+00	5.0708E+01	2.1926E+01	5.1742E+00	3.2339E+00	1.2289E+01	6.5001E+01	2.2566E+02	4.2235E+01	1.5070E+01	0.0000E+00	5.0449E+00	1.3712E+01	4.9155E+00	1.3712E+01	5.6270E+00	2.5613E+01
55-59__yrs	1.1641E+01	7.1770E+00	1.1466E+01	7.1420E+01	2.9496E+01	7.8772E+00	4.2012E+00	1.8118E+01	1.0949E+02	2.8104E+02	6.3280E+01	1.8993E+01	0.0000E+00	9.2776E+00	2.0656E+01	5.6891E+00	1.6980E+01	8.3148E+00	3.3259E+01
60-64__yrs	1.5280E+01	9.9550E+00	1.7479E+01	1.1275E+02	3.7158E+01	9.6077E+00	8.2187E+00	3.7737E+01	1.6657E+02	3.1555E+02	1.0372E+02	2.8013E+01	0.0000E+00	1.5627E+01	2.6855E+01	5.3248E+00	1.5280E+01	1.1344E+01	4.2483E+01
65-69__yrs	1.8302E+01	1.3011E+01	2.6165E+01	1.5356E+02	4.6040E+01	1.2153E+01	1.1867E+01	5.1473E+01	2.3606E+02	3.4759E+02	1.1624E+02	3.3029E+01	0.0000E+00	2.5022E+01	3.8033E+01	8.2929E+00	1.4870E+01	1.2725E+01	5.1044E+01
70-74__yrs	1.8330E+01	1.6920E+01	4.1594E+01	1.9334E+02	5.1993E+01	1.8330E+01	1.3042E+01	6.7502E+01	2.8023E+02	3.8140E+02	1.1421E+02	3.7717E+01	0.0000E+00	3.9127E+01	4.4414E+01	9.1648E+00	1.6215E+01	2.0445E+01	5.8866E+01
75-79__yrs	2.2386E+01	1.6679E+01	5.3550E+01	2.4975E+02	6.6718E+01	1.3607E+01	1.8216E+01	9.1298E+01	3.1845E+02	3.9943E+02	1.1588E+02	3.8846E+01	0.0000E+00	4.9819E+01	5.4647E+01	1.0315E+01	1.4485E+01	2.5019E+01	6.1670E+01
80-84__yrs	2.1533E+01	1.3933E+01	6.8714E+01	3.0557E+02	7.2197E+01	1.6783E+01	2.1849E+01	1.0545E+02	2.8911E+02	3.9012E+02	9.7530E+01	5.0348E+01	0.0000E+00	6.9664E+01	4.0848E+01	1.4250E+01	1.0133E+01	2.8182E+01	6.6181E+01
>=85___yrs	1.8604E+01	1.1627E+01	1.0332E+02	3.2656E+02	6.6110E+01	1.8604E+01	2.2258E+01	1.2391E+02	2.0796E+02	3.4284E+02	8.8036E+01	4.9167E+01	0.0000E+00	7.5744E+01	3.6543E+01	1.3289E+01	8.6375E+00	4.1194E+01	6.7107E+01
Fem_se____	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
00-00__yrs	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	4.0660E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	6.6390E-01	8.4630E-01	0.0000E+00	9.9590E-01	1.3887E+00
01-04__yrs	5.9300E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	8.3800E-02	0.0000E+00	0.0000E+00	5.9300E-02	0.0000E+00	0.0000E+00	5.9300E-02	0.0000E+00	8.3800E-02	3.1920E-01	4.3560E-01	0.0000E+00	4.4750E-01	4.8150E-01
05-09__yrs	4.5200E-02	4.5200E-02	0.0000E+00	0.0000E+00	0.0000E+00	4.5200E-02	0.0000E+00	4.5200E-02	4.5200E-02	0.0000E+00	0.0000E+00	6.3900E-02	0.0000E+00	4.5200E-02	2.0720E-01	3.1970E-01	0.0000E+00	3.2600E-01	2.6740E-01
10-14__yrs	8.5300E-02	0.0000E+00	0.0000E+00	4.2700E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	6.0300E-02	7.3900E-02	1.5960E-01	0.0000E+00	4.2700E-02	9.5400E-02	2.7980E-01	1.1290E-01	2.7320E-01	3.5950E-01
15-19__yrs	1.5020E-01	0.0000E+00	0.0000E+00	4.7500E-02	6.7200E-02	8.2300E-02	0.0000E+00	0.0000E+00	8.2300E-02	1.2570E-01	1.0620E-01	2.3750E-01	0.0000E+00	0.0000E+00	1.0620E-01	2.3270E-01	1.7770E-01	3.0040E-01	3.6800E-01
20-24__yrs	1.9610E-01	0.0000E+00	1.1320E-01	1.9610E-01	1.2400E-01	8.7700E-02	0.0000E+00	5.0600E-02	1.3390E-01	3.2020E-01	3.3200E-01	2.0870E-01	0.0000E+00	7.1600E-02	1.6010E-01	2.3200E-01	3.8890E-01	2.8190E-01	4.8030E-01
25-29__yrs	2.3380E-01	0.0000E+00	1.3830E-01	1.9560E-01	2.0250E-01	1.0460E-01	0.0000E+00	7.3900E-02	1.3830E-01	7.3560E-01	6.2070E-01	2.7160E-01	0.0000E+00	7.3900E-02	2.4520E-01	2.6660E-01	5.4330E-01	2.8150E-01	5.1750E-01
30-34__yrs	2.5940E-01	4.9000E-02	2.1370E-01	3.9520E-01	2.5940E-01	1.0960E-01	9.8000E-02	1.4700E-01	2.4510E-01	1.2400E+00	7.9640E-01	3.7010E-01	0.0000E+00	1.2010E-01	3.0610E-01	2.9810E-01	6.1220E-01	3.6020E-01	5.7580E-01
35-39__yrs	3.4560E-01	9.4900E-02	2.6430E-01	5.0240E-01	3.8270E-01	1.7760E-01	1.2560E-01	1.8380E-01	4.8180E-01	1.7711E+00	9.3740E-01	4.7940E-01	0.0000E+00	1.5010E-01	3.5840E-01	3.0760E-01	7.1200E-01	3.5200E-01	6.7630E-01
40-44__yrs	4.4550E-01	1.9690E-01	4.0810E-01	7.4310E-01	5.4880E-01	2.0270E-01	1.7220E-01	3.5100E-01	8.8980E-01	2.3840E+00	1.0965E+00	5.4880E-01	0.0000E+00	2.8260E-01	5.1220E-01	3.2400E-01	7.1010E-01	3.8800E-01	7.6570E-01
45-49__yrs	6.7940E-01	3.8480E-01	4.9670E-01	1.1391E+00	7.7520E-01	4.0680E-01	3.0480E-01	6.2140E-01	1.3936E+00	3.1198E+00	1.3065E+00	7.5620E-01	0.0000E+00	3.6940E-01	6.9000E-01	4.0320E-01	8.0820E-01	5.0830E-01	1.0378E+00
50-54__yrs	8.6530E-01	4.8830E-01	6.9660E-01	1.8110E+00	1.1908E+00	5.7850E-01	4.5730E-01	8.9150E-01	2.0504E+00	3.8204E+00	1.6528E+00	9.8730E-01	0.0000E+00	5.7120E-01	9.4170E-01	5.6380E-01	9.4170E-01	6.0330E-01	1.2871E+00
55-59__yrs	1.0094E+00	7.9260E-01	1.0018E+00	2.5002E+00	1.6067E+00	8.3030E-01	6.0640E-01	1.2593E+00	3.0957E+00	4.9596E+00	2.3534E+00	1.2893E+00	0.0000E+00	9.0110E-01	1.3446E+00	7.0560E-01	1.2191E+00	8.5310E-01	1.7062E+00
60-64__yrs	1.3299E+00	1.0735E+00	1.4224E+00	3.6126E+00	2.0739E+00	1.0546E+00	9.7540E-01	2.0900E+00	4.3911E+00	6.0437E+00	3.4650E+00	1.8007E+00	0.0000E+00	1.3450E+00	1.7631E+00	7.8510E-01	1.3299E+00	1.1459E+00	2.2176E+00
65-69__yrs	1.6176E+00	1.3639E+00	1.9342E+00	4.6857E+00	2.5657E+00	1.3182E+00	1.3026E+00	2.7129E+00	5.8096E+00	7.0497E+00	4.0768E+00	2.1731E+00	0.0000E+00	1.8915E+00	2.3319E+00	1.0889E+00	1.4581E+00	1.3489E+00	2.7015E+00
70-74__yrs	1.7974E+00	1.7269E+00	2.7075E+00	5.8375E+00	3.0271E+00	1.7974E+00	1.5161E+00	3.4492E+00	7.0278E+00	8.1988E+00	4.4865E+00	2.5783E+00	0.0000E+00	2.6260E+00	2.7978E+00	1.2709E+00	1.6905E+00	1.8982E+00	3.2210E+00
75-79__yrs	2.2165E+00	1.9133E+00	3.4282E+00	7.4035E+00	3.8265E+00	1.7281E+00	1.9994E+00	4.4763E+00	8.3599E+00	9.3627E+00	5.0429E+00	2.9198E+00	0.0000E+00	3.3066E+00	3.4631E+00	1.5046E+00	1.7830E+00	2.3433E+00	3.6789E+00
80-84__yrs	2.6112E+00	2.1004E+00	4.6646E+00	9.8367E+00	4.7814E+00	2.3053E+00	2.6303E+00	5.7784E+00	9.5680E+00	1.1115E+01	5.5573E+00	3.9929E+00	0.0000E+00	4.6967E+00	3.5965E+00	2.1242E+00	1.7913E+00	2.9873E+00	4.5778E+00
>=85___yrs	2.4860E+00	1.9654E+00	5.8586E+00	1.0416E+01	4.6864E+00	2.4860E+00	2.7193E+00	6.4161E+00	8.3119E+00	1.0672E+01	5.4080E+00	4.0415E+00	0.0000E+00	5.0163E+00	3.4843E+00	2.1011E+00	1.6940E+00	3.6994E+00	4.7216E+00
