2001-2005	Brazil	Baseline	Incidence	Rates
Male_rate_	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
Male_se___	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
00-00__yrs	9.3200E-02	1.6700E-02	2.3700E-02	2.3700E-02	3.3500E-02	3.3500E-02	1.6700E-02	2.9000E-02	4.1000E-02	0.0000E+00	0.0000E+00	0.0000E+00	2.9000E-02	3.3500E-02	1.9150E-01	2.3670E-01	1.6700E-02	5.9720E-01	3.3010E-01
01-04__yrs	9.3200E-02	1.6700E-02	2.3700E-02	2.3700E-02	3.3500E-02	3.3500E-02	1.6700E-02	2.9000E-02	4.1000E-02	0.0000E+00	0.0000E+00	0.0000E+00	2.9000E-02	3.3500E-02	1.9150E-01	2.3670E-01	1.6700E-02	4.3330E-01	3.3010E-01
05-09__yrs	8.6400E-02	0.0000E+00	3.4600E-02	1.7300E-02	2.9900E-02	0.0000E+00	0.0000E+00	0.0000E+00	3.4600E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.7300E-02	1.1460E-01	2.4000E-01	4.2300E-02	3.1670E-01	2.5630E-01
10-14__yrs	1.0260E-01	0.0000E+00	2.3200E-02	3.6700E-02	0.0000E+00	3.2900E-02	1.6400E-02	1.6400E-02	3.2900E-02	0.0000E+00	0.0000E+00	0.0000E+00	2.8400E-02	3.2900E-02	7.3500E-02	2.0050E-01	4.9300E-02	2.6130E-01	2.8120E-01
15-19__yrs	1.1200E-01	1.4800E-02	4.9200E-02	4.9200E-02	3.3200E-02	4.4900E-02	0.0000E+00	2.5700E-02	4.4500E-02	0.0000E+00	0.0000E+00	0.0000E+00	1.4800E-02	4.6900E-02	3.6300E-02	1.7930E-01	8.9000E-02	2.4380E-01	3.5090E-01
20-24__yrs	1.5010E-01	3.0200E-02	9.3000E-02	9.1800E-02	8.2700E-02	5.8400E-02	2.6100E-02	3.9900E-02	7.3900E-02	0.0000E+00	0.0000E+00	0.0000E+00	3.7000E-02	4.5300E-02	6.5800E-02	1.9730E-01	1.2630E-01	2.1870E-01	4.3340E-01
25-29__yrs	1.5110E-01	7.3000E-02	1.4910E-01	1.4510E-01	1.3670E-01	6.4600E-02	3.4400E-02	5.9600E-02	1.1160E-01	0.0000E+00	0.0000E+00	0.0000E+00	3.4400E-02	8.4300E-02	9.5900E-02	2.3360E-01	1.7390E-01	2.4350E-01	5.5950E-01
30-34__yrs	2.0690E-01	9.5500E-02	2.1530E-01	2.0440E-01	1.9110E-01	7.5100E-02	4.9600E-02	9.9100E-02	1.7270E-01	0.0000E+00	0.0000E+00	0.0000E+00	7.7200E-02	8.9900E-02	1.3120E-01	2.9450E-01	2.2330E-01	2.4790E-01	6.8690E-01
35-39__yrs	3.5240E-01	1.7620E-01	3.1960E-01	2.8800E-01	2.6120E-01	1.1030E-01	9.2600E-02	1.4580E-01	2.5490E-01	0.0000E+00	0.0000E+00	0.0000E+00	1.7030E-01	1.5260E-01	1.8530E-01	3.1640E-01	2.7120E-01	2.8660E-01	9.1430E-01
40-44__yrs	6.6070E-01	3.9860E-01	5.2590E-01	4.2030E-01	3.9080E-01	1.7410E-01	1.5090E-01	2.7280E-01	4.5640E-01	0.0000E+00	0.0000E+00	0.0000E+00	3.1710E-01	2.6660E-01	2.6560E-01	3.8290E-01	3.1180E-01	3.2830E-01	1.2357E+00
