2000-2005	SEER	Baseline	Incidence	Rates															
Male_rate_	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
45-49__yrs	1.7540E+01	4.2937E+00	6.3007E+00	1.7467E+01	1.4365E+01	1.0175E+01	1.2164E+00	5.9905E+00	2.7368E+01	7.9060E-01	0.0000E+00	0.0000E+00	3.9306E+01	1.1586E+01	1.5429E+01	7.2616E+00	6.3919E+00	6.0696E+00	4.8003E+01
50-54__yrs	2.9114E+01	9.1270E+00	9.8876E+00	3.5769E+01	2.6656E+01	1.8423E+01	1.9367E+00	1.2303E+01	5.8988E+01	1.1338E+00	0.0000E+00	0.0000E+00	1.3635E+02	2.3240E+01	2.5113E+01	9.2045E+00	7.6411E+00	8.0988E+00	6.4938E+01
55-59__yrs	3.9801E+01	1.5645E+01	1.6378E+01	5.8099E+01	3.8095E+01	2.1593E+01	3.7685E+00	2.0959E+01	1.2014E+02	2.1164E+00	0.0000E+00	0.0000E+00	3.2995E+02	4.6811E+01	3.9024E+01	1.2725E+01	9.4211E+00	1.1377E+01	9.0997E+01
60-64__yrs	4.9378E+01	2.3269E+01	2.6837E+01	9.5429E+01	5.4706E+01	2.5721E+01	6.2511E+00	3.3829E+01	2.2328E+02	3.2166E+00	0.0000E+00	0.0000E+00	5.7695E+02	8.0669E+01	5.7182E+01	1.6253E+01	1.0487E+01	1.6823E+01	1.2189E+02
65-69__yrs	5.4937E+01	3.2968E+01	4.0575E+01	1.4901E+02	7.3807E+01	3.1342E+01	9.7914E+00	4.8631E+01	3.4482E+02	4.5084E+00	0.0000E+00	0.0000E+00	8.8238E+02	1.3189E+02	7.2769E+01	1.9412E+01	1.2565E+01	2.5904E+01	1.5745E+02
70-74__yrs	5.9119E+01	3.9480E+01	5.4077E+01	2.0988E+02	8.8222E+01	3.7817E+01	1.4469E+01	6.5751E+01	4.7449E+02	5.2615E+00	0.0000E+00	0.0000E+00	9.9951E+02	1.9818E+02	8.4020E+01	2.5102E+01	1.1948E+01	3.7562E+01	1.9935E+02
75-79__yrs	5.9859E+01	4.5238E+01	6.9584E+01	2.7096E+02	1.0293E+02	4.1448E+01	1.9088E+01	8.0594E+01	5.6098E+02	6.0468E+00	0.0000E+00	0.0000E+00	9.8480E+02	2.6631E+02	9.5531E+01	2.8474E+01	1.1056E+01	4.9954E+01	2.3971E+02
80-84__yrs	5.9988E+01	4.6605E+01	8.6417E+01	3.2674E+02	1.0666E+02	3.8629E+01	2.5077E+01	9.4933E+01	5.5507E+02	7.8407E+00	0.0000E+00	0.0000E+00	8.3108E+02	3.2025E+02	9.4967E+01	2.6800E+01	9.7671E+00	6.3131E+01	2.7297E+02
>=85___yrs	6.0509E+01	4.1368E+01	8.8859E+01	3.5746E+02	1.0299E+02	3.3075E+01	2.8302E+01	9.3150E+01	4.5254E+02	8.9196E+00	0.0000E+00	0.0000E+00	6.9829E+02	3.3866E+02	8.0710E+01	2.1937E+01	6.6535E+00	6.9139E+01	2.7120E+02
Male_se___	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
00-00__yrs	0.0000E+00	0.0000E+00	0.0000E+00	2.9900E-02	0.0000E+00	2.0510E-01	0.0000E+00	0.0000E+00	2.9900E-02	0.0000E+00	0.0000E+00	0.0000E+00	5.9800E-02	4.2300E-02	2.2790E-01	3.2780E-01	0.0000E+00	3.7850E-01	5.8870E-01
01-04__yrs	1.8800E-02	0.0000E+00	0.0000E+00	7.7000E-03	7.7000E-03	6.7700E-02	7.7000E-03	0.0000E+00	2.0300E-02	0.0000E+00	0.0000E+00	0.0000E+00	2.3000E-02	1.8800E-02	1.1880E-01	1.8000E-01	7.7000E-03	2.7580E-01	1.8780E-01
05-09__yrs	2.6100E-02	0.0000E+00	6.0000E-03	6.0000E-03	0.0000E+00	2.6800E-02	6.0000E-03	6.0000E-03	8.5000E-03	0.0000E+00	0.0000E+00	0.0000E+00	1.0400E-02	1.3400E-02	4.9300E-02	1.3990E-01	2.0700E-02	1.5790E-01	1.0770E-01
10-14__yrs	3.5100E-02	0.0000E+00	5.8000E-03	1.6300E-02	5.8000E-03	2.3100E-02	0.0000E+00	5.8000E-03	1.7300E-02	0.0000E+00	0.0000E+00	0.0000E+00	5.8000E-03	1.4100E-02	2.6400E-02	1.2720E-01	3.1600E-02	1.3690E-01	1.4430E-01
15-19__yrs	5.1500E-02	0.0000E+00	1.3500E-02	3.3000E-02	2.2500E-02	2.8900E-02	6.0000E-03	1.8100E-02	2.5600E-02	0.0000E+00	0.0000E+00	0.0000E+00	1.7000E-02	2.7600E-02	2.8300E-02	1.1640E-01	5.9700E-02	1.4830E-01	2.3760E-01
20-24__yrs	6.0400E-02	1.6100E-02	2.9100E-02	5.4300E-02	3.7400E-02	3.7900E-02	0.0000E+00	1.8200E-02	4.2100E-02	6.1000E-03	0.0000E+00	0.0000E+00	8.6000E-03	4.0700E-02	3.8900E-02	1.1980E-01	8.3300E-02	1.3140E-01	3.1100E-01
25-29__yrs	7.9200E-02	2.3400E-02	6.0700E-02	8.8100E-02	6.9400E-02	4.2900E-02	2.2600E-02	3.0000E-02	5.8400E-02	1.2500E-02	0.0000E+00	0.0000E+00	1.9800E-02	5.7700E-02	6.9700E-02	1.3840E-01	1.2000E-01	1.2990E-01	3.7350E-01
30-34__yrs	1.0270E-01	3.8400E-02	8.0000E-02	1.2170E-01	1.0180E-01	5.8200E-02	2.1900E-02	4.7900E-02	8.2100E-02	2.4800E-02	0.0000E+00	0.0000E+00	2.3400E-02	8.3100E-02	1.0120E-01	1.4610E-01	1.3790E-01	1.3990E-01	4.0050E-01
35-39__yrs	1.4290E-01	5.8800E-02	1.0330E-01	1.6580E-01	1.5910E-01	8.1600E-02	4.0000E-02	8.1200E-02	1.3940E-01	2.7100E-02	0.0000E+00	0.0000E+00	6.5700E-02	1.1420E-01	1.5350E-01	1.5350E-01	1.6470E-01	1.4800E-01	4.2580E-01
40-44__yrs	2.1690E-01	9.6900E-02	1.3320E-01	2.2160E-01	2.0430E-01	1.3210E-01	6.0600E-02	1.2390E-01	2.4810E-01	4.4800E-02	0.0000E+00	0.0000E+00	2.1690E-01	1.7220E-01	2.1220E-01	1.7220E-01	1.7090E-01	1.5920E-01	4.6860E-01
45-49__yrs	3.2660E-01	1.6160E-01	1.9580E-01	3.2590E-01	2.9560E-01	2.4880E-01	8.6000E-02	1.9090E-01	4.0800E-01	6.9300E-02	0.0000E+00	0.0000E+00	4.8890E-01	2.6540E-01	3.0630E-01	2.1020E-01	1.9720E-01	1.9210E-01	5.4030E-01
50-54__yrs	4.5280E-01	2.5350E-01	2.6390E-01	5.0190E-01	4.3330E-01	3.6020E-01	1.1680E-01	2.9440E-01	6.4450E-01	8.9400E-02	0.0000E+00	0.0000E+00	9.7990E-01	4.0460E-01	4.2050E-01	2.5460E-01	2.3200E-01	2.3880E-01	6.7630E-01
55-59__yrs	5.9620E-01	3.7380E-01	3.8240E-01	7.2030E-01	5.8330E-01	4.3910E-01	1.8340E-01	4.3260E-01	1.0358E+00	1.3750E-01	0.0000E+00	0.0000E+00	1.7165E+00	6.4650E-01	5.9030E-01	3.3710E-01	2.9010E-01	3.1870E-01	9.0140E-01
60-64__yrs	7.7420E-01	5.3140E-01	5.7070E-01	1.0763E+00	8.1490E-01	5.5870E-01	2.7550E-01	6.4080E-01	1.6463E+00	1.9760E-01	0.0000E+00	0.0000E+00	2.6463E+00	9.8950E-01	8.3310E-01	4.4420E-01	3.5680E-01	4.5190E-01	1.2164E+00
65-69__yrs	9.2260E-01	7.1470E-01	7.9290E-01	1.5194E+00	1.0693E+00	6.9680E-01	3.8950E-01	8.6800E-01	2.3113E+00	2.6430E-01	0.0000E+00	0.0000E+00	3.6974E+00	1.4294E+00	1.0618E+00	5.4840E-01	4.4120E-01	6.3350E-01	1.5618E+00
70-74__yrs	1.0393E+00	8.4930E-01	9.9400E-01	1.9581E+00	1.2695E+00	8.3120E-01	5.1410E-01	1.0960E+00	2.9442E+00	3.1000E-01	0.0000E+00	0.0000E+00	4.2732E+00	1.9028E+00	1.2389E+00	6.7720E-01	4.6720E-01	8.2840E-01	1.9084E+00
75-79__yrs	1.1621E+00	1.0103E+00	1.2530E+00	2.4726E+00	1.5239E+00	9.6700E-01	6.5630E-01	1.3485E+00	3.5577E+00	3.6940E-01	0.0000E+00	0.0000E+00	4.7138E+00	2.4513E+00	1.4681E+00	8.0150E-01	4.9940E-01	1.0616E+00	2.3256E+00
80-84__yrs	1.4239E+00	1.2550E+00	1.7090E+00	3.3230E+00	1.8986E+00	1.1426E+00	9.2060E-01	1.7912E+00	4.3312E+00	5.1480E-01	0.0000E+00	0.0000E+00	5.2998E+00	3.2899E+00	1.7915E+00	9.5170E-01	5.7450E-01	1.4607E+00	3.0373E+00
>=85___yrs	1.7080E+00	1.4123E+00	2.0698E+00	4.1515E+00	2.2283E+00	1.2628E+00	1.1681E+00	2.1192E+00	4.6711E+00	6.5580E-01	0.0000E+00	0.0000E+00	5.8023E+00	4.0408E+00	1.9727E+00	1.0284E+00	5.6640E-01	1.8258E+00	3.6161E+00
Fem_rate__	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
00-00__yrs	6.2700E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.2533E+00	0.0000E+00	3.1300E-02	3.1300E-02	0.0000E+00	0.0000E+00	3.1300E-02	0.0000E+00	6.2700E-02	1.5040E+00	3.7600E+00	0.0000E+00	4.7313E+00	9.9952E+00
01-04__yrs	4.8200E-02	0.0000E+00	2.4100E-02	0.0000E+00	0.0000E+00	3.6150E-01	8.0000E-03	1.6100E-02	3.2100E-02	0.0000E+00	0.0000E+00	4.8200E-02	0.0000E+00	4.8200E-02	1.8155E+00	3.7755E+00	1.6100E-02	7.8403E+00	4.0969E+00
05-09__yrs	8.1600E-02	6.3000E-03	6.3000E-03	0.0000E+00	0.0000E+00	8.1600E-02	0.0000E+00	1.2600E-02	1.2600E-02	0.0000E+00	2.5100E-02	2.3230E-01	0.0000E+00	1.8800E-02	5.2110E-01	3.0388E+00	1.2560E-01	3.7357E+00	1.7015E+00
10-14__yrs	2.6650E-01	6.1000E-03	3.0300E-02	6.0600E-02	6.1000E-03	9.0900E-02	6.1000E-03	1.2100E-02	3.6300E-02	1.8200E-02	6.0600E-02	7.3890E-01	0.0000E+00	1.2100E-02	1.5750E-01	2.4106E+00	8.1770E-01	2.6165E+00	3.1919E+00
15-19__yrs	3.5720E-01	6.4000E-03	5.7400E-02	2.2330E-01	5.7400E-02	9.5700E-02	0.0000E+00	3.8300E-02	1.4670E-01	1.5950E-01	2.2330E-01	1.4799E+00	0.0000E+00	6.3800E-02	2.1050E-01	1.9073E+00	3.0045E+00	2.1689E+00	5.0011E+00
20-24__yrs	7.3140E-01	1.9600E-02	1.7630E-01	5.0930E-01	3.2650E-01	1.5020E-01	1.9600E-02	7.1800E-02	3.3960E-01	1.3583E+00	1.9198E+00	1.7174E+00	0.0000E+00	1.8280E-01	3.0690E-01	2.0831E+00	7.8100E+00	1.8676E+00	9.0637E+00
25-29__yrs	1.0125E+00	2.6300E-02	3.8790E-01	1.0848E+00	6.9690E-01	1.8410E-01	8.5500E-02	2.0380E-01	5.6540E-01	7.7844E+00	7.3636E+00	2.1433E+00	0.0000E+00	2.8270E-01	6.5750E-01	2.5904E+00	1.2702E+01	1.9724E+00	1.3294E+01
30-34__yrs	1.5509E+00	7.2400E-02	9.2930E-01	2.4621E+00	1.5569E+00	1.7500E-01	1.4480E-01	4.1640E-01	1.2552E+00	2.5635E+01	1.4773E+01	2.9992E+00	0.0000E+00	5.1900E-01	1.4423E+00	2.7035E+00	1.6354E+01	2.5708E+00	1.7295E+01
35-39__yrs	2.2475E+00	1.6090E-01	1.5117E+00	4.3800E+00	3.1499E+00	4.0240E-01	3.0460E-01	8.7370E-01	4.0006E+00	5.9285E+01	2.0434E+01	5.1847E+00	0.0000E+00	9.3120E-01	2.5866E+00	3.4430E+00	1.9440E+01	2.8625E+00	2.1687E+01
40-44__yrs	3.4495E+00	3.4330E-01	2.3698E+00	8.7372E+00	6.4726E+00	8.1390E-01	6.7000E-01	1.8881E+00	1.1345E+01	1.1799E+02	2.8371E+01	8.9365E+00	0.0000E+00	2.0044E+00	4.9167E+00	3.7208E+00	2.0907E+01	3.6654E+00	2.9251E+01
45-49__yrs	5.9960E+00	1.0794E+00	3.5644E+00	1.6120E+01	1.1387E+01	1.9216E+00	1.3700E+00	4.2761E+00	2.4180E+01	1.8666E+02	3.8289E+01	1.5918E+01	0.0000E+00	3.6177E+00	7.6803E+00	4.6853E+00	2.2187E+01	4.5489E+00	3.6059E+01
50-54__yrs	8.8563E+00	1.5097E+00	5.2639E+00	3.0431E+01	1.9101E+01	3.3363E+00	2.4331E+00	8.0273E+00	4.5616E+01	2.3688E+02	5.7013E+01	2.2410E+01	0.0000E+00	7.2185E+00	1.2429E+01	6.5580E+00	2.2121E+01	5.9244E+00	4.3419E+01
55-59__yrs	1.1767E+01	3.1770E+00	7.6819E+00	4.4318E+01	2.4819E+01	4.7150E+00	4.1435E+00	1.4254E+01	9.0544E+01	3.0427E+02	8.2089E+01	2.9316E+01	0.0000E+00	1.3187E+01	1.8751E+01	8.3206E+00	2.1482E+01	7.9424E+00	5.4193E+01
60-64__yrs	1.6229E+01	4.9851E+00	1.0790E+01	7.0412E+01	3.1894E+01	7.6550E+00	6.7022E+00	2.4339E+01	1.5725E+02	3.6248E+02	9.7620E+01	3.7765E+01	0.0000E+00	2.2300E+01	2.5513E+01	1.0890E+01	2.0118E+01	1.0857E+01	6.7299E+01
65-69__yrs	1.9837E+01	7.8865E+00	1.7297E+01	1.1144E+02	4.3790E+01	1.1776E+01	1.0694E+01	3.6692E+01	2.3758E+02	4.0714E+02	1.0502E+02	4.2026E+01	0.0000E+00	3.4647E+01	3.4928E+01	1.3100E+01	2.0411E+01	1.5372E+01	7.9747E+01
70-74__yrs	2.4865E+01	1.0858E+01	2.5259E+01	1.5237E+02	5.1508E+01	1.5522E+01	1.4021E+01	5.1362E+01	3.0616E+02	4.2845E+02	1.0007E+02	4.8345E+01	0.0000E+00	4.7194E+01	4.0883E+01	1.6062E+01	1.8627E+01	2.0536E+01	9.5102E+01
75-79__yrs	2.7866E+01	1.2041E+01	3.2276E+01	2.0962E+02	6.3766E+01	1.6579E+01	1.8038E+01	6.6187E+01	3.3945E+02	4.5869E+02	9.8013E+01	5.3328E+01	0.0000E+00	6.0174E+01	4.7251E+01	1.8358E+01	1.6595E+01	2.8203E+01	1.0978E+02
80-84__yrs	2.9324E+01	1.3398E+01	4.0700E+01	2.6946E+02	7.0087E+01	1.7906E+01	2.3257E+01	7.9757E+01	3.1481E+02	4.3980E+02	9.3302E+01	5.8438E+01	0.0000E+00	7.3584E+01	4.7420E+01	1.7970E+01	1.2787E+01	3.4001E+01	1.1818E+02
>=85___yrs	3.0082E+01	1.4942E+01	4.9484E+01	3.0910E+02	7.5127E+01	1.4964E+01	2.5577E+01	9.0619E+01	2.2237E+02	3.5790E+02	7.3391E+01	5.0737E+01	0.0000E+00	8.0269E+01	3.7179E+01	1.5162E+01	8.5477E+00	3.9948E+01	1.1835E+02
Fem_se____	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
00-00__yrs	4.4300E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.9820E-01	0.0000E+00	3.1300E-02	3.1300E-02	0.0000E+00	0.0000E+00	3.1300E-02	0.0000E+00	4.4300E-02	2.1710E-01	3.4320E-01	0.0000E+00	3.8500E-01	5.5960E-01
01-04__yrs	1.9700E-02	0.0000E+00	1.3900E-02	0.0000E+00	0.0000E+00	5.3900E-02	8.0000E-03	1.1400E-02	1.6100E-02	0.0000E+00	0.0000E+00	1.9700E-02	0.0000E+00	1.9700E-02	1.2080E-01	1.7420E-01	1.1400E-02	2.5100E-01	1.8140E-01
05-09__yrs	2.2600E-02	6.3000E-03	6.3000E-03	0.0000E+00	0.0000E+00	2.2600E-02	0.0000E+00	8.9000E-03	8.9000E-03	0.0000E+00	1.2600E-02	3.8200E-02	0.0000E+00	1.0900E-02	5.7200E-02	1.3810E-01	2.8100E-02	1.5310E-01	1.0340E-01
10-14__yrs	4.0200E-02	6.1000E-03	1.3500E-02	1.9200E-02	6.1000E-03	2.3500E-02	6.1000E-03	8.6000E-03	1.4800E-02	1.0500E-02	1.9200E-02	6.6900E-02	0.0000E+00	8.6000E-03	3.0900E-02	1.2080E-01	7.0400E-02	1.2590E-01	1.3900E-01
15-19__yrs	4.7700E-02	6.4000E-03	1.9100E-02	3.7700E-02	1.9100E-02	2.4700E-02	0.0000E+00	1.5600E-02	3.0600E-02	3.1900E-02	3.7700E-02	9.7200E-02	0.0000E+00	2.0200E-02	3.6600E-02	1.1030E-01	1.3840E-01	1.1760E-01	1.7860E-01
20-24__yrs	6.9100E-02	1.1300E-02	3.3900E-02	5.7700E-02	4.6200E-02	3.1300E-02	1.1300E-02	2.1700E-02	4.7100E-02	9.4200E-02	1.1200E-01	1.0590E-01	0.0000E+00	3.4600E-02	4.4800E-02	1.1660E-01	2.2580E-01	1.1040E-01	2.4330E-01
25-29__yrs	8.1600E-02	1.3100E-02	5.0500E-02	8.4500E-02	6.7700E-02	3.4800E-02	2.3700E-02	3.6600E-02	6.1000E-02	2.2620E-01	2.2000E-01	1.1870E-01	0.0000E+00	4.3100E-02	6.5700E-02	1.3050E-01	2.8900E-01	1.1390E-01	2.9560E-01
30-34__yrs	9.6700E-02	2.0900E-02	7.4900E-02	1.2190E-01	9.6900E-02	3.2500E-02	2.9600E-02	5.0100E-02	8.7000E-02	3.9330E-01	2.9860E-01	1.3450E-01	0.0000E+00	5.6000E-02	9.3300E-02	1.2770E-01	3.1420E-01	1.2460E-01	3.2310E-01
35-39__yrs	1.1370E-01	3.0400E-02	9.3200E-02	1.5870E-01	1.3460E-01	4.8100E-02	4.1800E-02	7.0900E-02	1.5160E-01	5.8380E-01	3.4270E-01	1.7260E-01	0.0000E+00	7.3200E-02	1.2190E-01	1.4070E-01	3.3430E-01	1.2830E-01	3.5310E-01
40-44__yrs	1.3820E-01	4.3600E-02	1.1450E-01	2.1990E-01	1.8930E-01	6.7100E-02	6.0900E-02	1.0220E-01	2.5060E-01	8.0830E-01	3.9630E-01	2.2240E-01	0.0000E+00	1.0530E-01	1.6500E-01	1.4350E-01	3.4020E-01	1.4250E-01	4.0240E-01
45-49__yrs	1.8860E-01	8.0000E-02	1.4540E-01	3.0920E-01	2.5990E-01	1.0680E-01	9.0100E-02	1.5920E-01	3.7870E-01	1.0522E+00	4.7650E-01	3.0730E-01	0.0000E+00	1.4650E-01	2.1340E-01	1.6670E-01	3.6270E-01	1.6430E-01	4.6240E-01
50-54__yrs	2.4430E-01	1.0090E-01	1.8840E-01	4.5290E-01	3.5880E-01	1.5000E-01	1.2810E-01	2.3260E-01	5.5450E-01	1.2635E+00	6.1990E-01	3.8860E-01	0.0000E+00	2.2060E-01	2.8940E-01	2.1020E-01	3.8610E-01	1.9980E-01	5.4100E-01
55-59__yrs	3.1450E-01	1.6340E-01	2.5410E-01	6.1030E-01	4.5670E-01	1.9910E-01	1.8660E-01	3.4610E-01	8.7230E-01	1.5991E+00	8.3060E-01	4.9640E-01	0.0000E+00	3.3290E-01	3.9700E-01	2.6440E-01	4.2490E-01	2.5840E-01	6.7490E-01
60-64__yrs	4.2400E-01	2.3500E-01	3.4570E-01	8.8320E-01	5.9440E-01	2.9120E-01	2.7250E-01	5.1930E-01	1.3199E+00	2.0039E+00	1.0399E+00	6.4680E-01	0.0000E+00	4.9700E-01	5.3160E-01	3.4730E-01	4.7210E-01	3.4680E-01	8.6350E-01
65-69__yrs	5.1490E-01	3.2470E-01	4.8080E-01	1.2205E+00	7.6510E-01	3.9680E-01	3.7810E-01	7.0030E-01	1.7821E+00	2.3329E+00	1.1848E+00	7.4950E-01	0.0000E+00	6.8050E-01	6.8330E-01	4.1850E-01	5.2230E-01	4.5330E-01	1.0325E+00
70-74__yrs	6.0200E-01	3.9780E-01	6.0670E-01	1.4902E+00	8.6640E-01	4.7560E-01	4.5210E-01	8.6520E-01	2.1124E+00	2.4989E+00	1.2077E+00	8.3940E-01	0.0000E+00	8.2940E-01	7.7190E-01	4.8380E-01	5.2100E-01	5.4710E-01	1.1773E+00
75-79__yrs	6.6840E-01	4.3940E-01	7.1940E-01	1.8333E+00	1.0111E+00	5.1560E-01	5.3780E-01	1.0301E+00	2.3329E+00	2.7119E+00	1.2536E+00	9.2470E-01	0.0000E+00	9.8220E-01	8.7040E-01	5.4250E-01	5.1580E-01	6.7250E-01	1.3267E+00
80-84__yrs	7.8600E-01	5.3130E-01	9.2600E-01	2.3825E+00	1.2151E+00	6.1420E-01	7.0000E-01	1.2962E+00	2.5753E+00	3.0438E+00	1.4020E+00	1.1095E+00	0.0000E+00	1.2450E+00	9.9950E-01	6.1530E-01	5.1900E-01	8.4630E-01	1.5779E+00
>=85___yrs	8.1300E-01	5.7300E-01	1.0428E+00	2.6061E+00	1.2848E+00	5.7340E-01	7.4970E-01	1.4111E+00	2.2105E+00	2.8043E+00	1.2699E+00	1.0559E+00	0.0000E+00	1.3281E+00	9.0390E-01	5.7720E-01	4.3340E-01	9.3690E-01	1.6126E+00
