2000-2005	SEER	Baseline	Incidence	Rates															
Male_rate_	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
00-00__yrs	0.0000E+00	0.0000E+00	0.0000E+00	2.9900E-02	0.0000E+00	1.4064E+00	0.0000E+00	0.0000E+00	2.9900E-02	0.0000E+00	0.0000E+00	0.0000E+00	1.1970E-01	5.9800E-02	1.7356E+00	3.5908E+00	0.0000E+00	4.7878E+00	1.1581E+01
01-04__yrs	4.6000E-02	0.0000E+00	0.0000E+00	7.7000E-03	7.7000E-03	5.9810E-01	7.7000E-03	0.0000E+00	5.3700E-02	0.0000E+00	0.0000E+00	0.0000E+00	6.9000E-02	4.6000E-02	1.8402E+00	4.2248E+00	7.7000E-03	9.9217E+00	4.6005E+00
05-09__yrs	1.1370E-01	0.0000E+00	6.0000E-03	6.0000E-03	0.0000E+00	1.1970E-01	6.0000E-03	6.0000E-03	1.2000E-02	0.0000E+00	0.0000E+00	0.0000E+00	1.8000E-02	2.9900E-02	4.0690E-01	3.2731E+00	7.1800E-02	4.1647E+00	1.9387E+00
10-14__yrs	2.1330E-01	0.0000E+00	5.8000E-03	4.6100E-02	5.8000E-03	9.2200E-02	0.0000E+00	5.8000E-03	5.1900E-02	0.0000E+00	0.0000E+00	0.0000E+00	5.8000E-03	3.4600E-02	1.2100E-01	2.8071E+00	1.7290E-01	3.2509E+00	3.6140E+00
15-19__yrs	4.3990E-01	0.0000E+00	3.0100E-02	1.8080E-01	8.4400E-02	1.3860E-01	6.0000E-03	5.4200E-02	1.0850E-01	0.0000E+00	0.0000E+00	0.0000E+00	4.8200E-02	1.2650E-01	1.3260E-01	2.2477E+00	5.9060E-01	3.6518E+00	9.3705E+00
20-24__yrs	6.0120E-01	4.2500E-02	1.3970E-01	4.8580E-01	2.3080E-01	2.3680E-01	0.0000E+00	5.4700E-02	2.9150E-01	6.1000E-03	0.0000E+00	0.0000E+00	1.2100E-02	2.7330E-01	2.4900E-01	2.3622E+00	1.1416E+00	2.8419E+00	1.5928E+01
25-29__yrs	1.0012E+00	8.7600E-02	5.8820E-01	1.2390E+00	7.6970E-01	2.9410E-01	8.1400E-02	1.4390E-01	5.4440E-01	2.5000E-02	0.0000E+00	0.0000E+00	6.2600E-02	5.3190E-01	7.7600E-01	3.0601E+00	2.3029E+00	2.6971E+00	2.2290E+01
30-34__yrs	1.8019E+00	2.5160E-01	1.0940E+00	2.5332E+00	1.7727E+00	5.7920E-01	8.1900E-02	3.9200E-01	1.1525E+00	1.0530E-01	0.0000E+00	0.0000E+00	9.3600E-02	1.1818E+00	1.7493E+00	3.6506E+00	3.2528E+00	3.3464E+00	2.7421E+01
35-39__yrs	3.6102E+00	6.1110E-01	1.8843E+00	4.8608E+00	4.4760E+00	1.1770E+00	2.8290E-01	1.1657E+00	3.4348E+00	1.3010E-01	0.0000E+00	0.0000E+00	7.6390E-01	2.3031E+00	4.1648E+00	4.1648E+00	4.7929E+00	3.8705E+00	3.2039E+01
40-44__yrs	8.4680E+00	1.6891E+00	3.1949E+00	8.8402E+00	7.5123E+00	3.1394E+00	6.6120E-01	2.7615E+00	1.1080E+01	3.6120E-01	0.0000E+00	0.0000E+00	8.4680E+00	5.3397E+00	8.1068E+00	5.3397E+00	5.2564E+00	4.5618E+00	3.9523E+01
