SPAIN_(2003-2007)_all cancer registries__IARC_CI5-X																			
Male_rate_	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
00-00__yrs	0.0000E+00	0.0000E+00	7.4238E-02	0.0000E+00	0.0000E+00	5.1967E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.4848E-01	7.4238E-02	2.1529E+00	3.1922E+00	7.4238E-02	7.5723E+00	7.2753E+00
01-04__yrs	0.0000E+00	0.0000E+00	7.4238E-02	0.0000E+00	0.0000E+00	5.1967E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.4848E-01	7.4238E-02	2.1529E+00	3.1922E+00	7.4238E-02	7.5723E+00	7.2753E+00
05-09__yrs	1.5788E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.5788E-01	0.0000E+00	0.0000E+00	7.8940E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	3.9470E-01	2.6840E+00	1.5788E-01	5.4468E+00	3.0787E+00
10-14__yrs	3.0451E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.5226E-01	0.0000E+00	0.0000E+00	7.6128E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	7.6128E-02	0.0000E+00	1.7509E+00	2.2838E-01	4.4916E+00	3.8064E+00
15-19__yrs	7.5558E-01	6.8689E-02	2.0607E-01	6.8689E-02	0.0000E+00	4.1213E-01	0.0000E+00	0.0000E+00	3.4344E-01	0.0000E+00	0.0000E+00	0.0000E+00	6.8689E-02	2.7475E-01	2.7475E-01	1.6485E+00	7.5558E-01	3.5718E+00	8.9295E+00
20-24__yrs	9.2469E-01	0.0000E+00	1.6318E-01	3.8076E-01	1.0879E-01	4.3515E-01	5.4394E-02	5.4394E-02	1.0879E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	9.7908E-01	3.2636E-01	2.1757E+00	8.1590E-01	2.3933E+00	1.3979E+01
25-29__yrs	6.8217E-01	1.2791E-01	4.2636E-01	5.9690E-01	4.2636E-01	4.6899E-01	4.2636E-02	2.5581E-01	4.2636E-01	4.2636E-02	0.0000E+00	0.0000E+00	1.2791E-01	1.4496E+00	6.8217E-01	2.1318E+00	1.5349E+00	2.0891E+00	2.4089E+01
30-34__yrs	1.7318E+00	1.2370E-01	1.0308E+00	1.4844E+00	7.4219E-01	6.5972E-01	0.0000E+00	6.5972E-01	1.8142E+00	8.2466E-02	0.0000E+00	0.0000E+00	1.6493E-01	1.8555E+00	1.8142E+00	4.0820E+00	2.6389E+00	2.3503E+00	2.4286E+01
35-39__yrs	4.5229E+00	7.3932E-01	2.6529E+00	3.6966E+00	2.4789E+00	1.2612E+00	2.6094E-01	1.3917E+00	6.0015E+00	3.0443E-01	0.0000E+00	0.0000E+00	4.3489E-02	4.1315E+00	4.1750E+00	3.3922E+00	2.7833E+00	3.3487E+00	2.8616E+01
40-44__yrs	1.2799E+01	2.2340E+00	5.0266E+00	8.1915E+00	6.0971E+00	4.9335E+00	6.9814E-01	3.3045E+00	2.0665E+01	6.0505E-01	0.0000E+00	0.0000E+00	8.8431E-01	9.7739E+00	6.8883E+00	4.8404E+00	3.5838E+00	5.1662E+00	3.2533E+01
45-49__yrs	2.9068E+01	7.9372E+00	1.0881E+01	2.0342E+01	1.3509E+01	1.0723E+01	1.3667E+00	6.7807E+00	5.4561E+01	1.0513E+00	0.0000E+00	0.0000E+00	1.0197E+01	2.7018E+01	1.2037E+01	6.9384E+00	3.7846E+00	4.6782E+00	5.2249E+01
50-54__yrs	5.0004E+01	1.4646E+01	2.0284E+01	4.0751E+01	2.9108E+01	1.6913E+01	2.2061E+00	1.3359E+01	1.0270E+02	1.2256E+00	0.0000E+00	0.0000E+00	5.7603E+01	5.6745E+01	2.1938E+01	9.9886E+00	3.9832E+00	6.1893E+00	8.0215E+01
55-59__yrs	6.5027E+01	2.1788E+01	3.1636E+01	7.0760E+01	5.1536E+01	2.5633E+01	4.7219E+00	1.8078E+01	1.7053E+02	2.0911E+00	0.0000E+00	0.0000E+00	1.5528E+02	9.7135E+01	3.0625E+01	1.4166E+01	4.5195E+00	8.4319E+00	1.1838E+02
60-64__yrs	7.1749E+01	2.8588E+01	4.7406E+01	1.0915E+02	7.6874E+01	3.8517E+01	7.3671E+00	3.0750E+01	2.2462E+02	3.4433E+00	0.0000E+00	0.0000E+00	3.2607E+02	1.4174E+02	3.8837E+01	2.1461E+01	6.0058E+00	1.0971E+01	1.4518E+02
65-69__yrs	8.2527E+01	3.1565E+01	6.3039E+01	1.5984E+02	1.0037E+02	5.9105E+01	1.4639E+01	4.1538E+01	3.0897E+02	3.1108E+00	0.0000E+00	0.0000E+00	5.3451E+02	2.0357E+02	4.8034E+01	2.2599E+01	4.4832E+00	1.7109E+01	1.6469E+02
70-74__yrs	7.9782E+01	3.2314E+01	9.9681E+01	2.3432E+02	1.3291E+02	7.0927E+01	1.9717E+01	4.8471E+01	3.7755E+02	5.5683E+00	0.0000E+00	0.0000E+00	6.8417E+02	2.6089E+02	6.3533E+01	2.8024E+01	4.7467E+00	2.4281E+01	2.0813E+02
75-79__yrs	8.1432E+01	3.1403E+01	1.3122E+02	2.9313E+02	1.5379E+02	8.6089E+01	3.0447E+01	6.1014E+01	4.5170E+02	6.0895E+00	0.0000E+00	0.0000E+00	7.0328E+02	3.3253E+02	7.0925E+01	3.0447E+01	3.5820E+00	3.7253E+01	2.4513E+02
80-84__yrs	7.6575E+01	3.1219E+01	1.5237E+02	3.6010E+02	1.6434E+02	7.7557E+01	3.8877E+01	7.5201E+01	4.6141E+02	6.6758E+00	0.0000E+00	0.0000E+00	5.6960E+02	3.8798E+02	7.7753E+01	2.8863E+01	4.9087E+00	4.4374E+01	3.0336E+02
>=85___yrs	7.2888E+01	3.5793E+01	1.4578E+02	3.2084E+02	1.4447E+02	7.4841E+01	4.4904E+01	7.7444E+01	3.7323E+02	5.5317E+00	0.0000E+00	0.0000E+00	5.6065E+02	3.9438E+02	5.5968E+01	2.5706E+01	1.9524E+00	5.0761E+01	3.4231E+02
Male_se___	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
00-00__yrs	0.0000E+00	0.0000E+00	7.4238E-02	0.0000E+00	0.0000E+00	1.9642E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.0499E-01	7.4238E-02	3.9978E-01	4.8681E-01	7.4238E-02	7.4977E-01	7.3492E-01
01-04__yrs	0.0000E+00	0.0000E+00	7.4238E-02	0.0000E+00	0.0000E+00	1.9642E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.0499E-01	7.4238E-02	3.9978E-01	4.8681E-01	7.4238E-02	7.4977E-01	7.3492E-01
05-09__yrs	1.1164E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.1164E-01	0.0000E+00	0.0000E+00	7.8940E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.7651E-01	4.6029E-01	1.1164E-01	6.5572E-01	4.9298E-01
10-14__yrs	1.5226E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.0766E-01	0.0000E+00	0.0000E+00	7.6128E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	7.6128E-02	0.0000E+00	3.6510E-01	1.3186E-01	5.8475E-01	5.3831E-01
15-19__yrs	2.2781E-01	6.8689E-02	1.1897E-01	6.8689E-02	0.0000E+00	1.6825E-01	0.0000E+00	0.0000E+00	1.5359E-01	0.0000E+00	0.0000E+00	0.0000E+00	6.8689E-02	1.3738E-01	1.3738E-01	3.3650E-01	2.2781E-01	4.9532E-01	7.8317E-01
20-24__yrs	2.2427E-01	0.0000E+00	9.4212E-02	1.4391E-01	7.6924E-02	1.5385E-01	5.4394E-02	5.4394E-02	7.6924E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	2.3077E-01	1.3324E-01	3.4402E-01	2.1067E-01	3.6081E-01	8.7200E-01
25-29__yrs	1.7054E-01	7.3847E-02	1.3483E-01	1.5953E-01	1.3483E-01	1.4141E-01	4.2636E-02	1.0444E-01	1.3483E-01	4.2636E-02	0.0000E+00	0.0000E+00	7.3847E-02	2.4861E-01	1.7054E-01	3.0148E-01	2.5581E-01	2.9845E-01	1.0134E+00
30-34__yrs	2.6722E-01	7.1417E-02	2.0616E-01	2.4740E-01	1.7494E-01	1.6493E-01	0.0000E+00	1.6493E-01	2.7351E-01	5.8312E-02	0.0000E+00	0.0000E+00	8.2466E-02	2.7660E-01	2.7351E-01	4.1026E-01	3.2986E-01	3.1130E-01	1.0007E+00
35-39__yrs	4.4351E-01	1.7931E-01	3.3966E-01	4.0095E-01	3.2834E-01	2.3420E-01	1.0653E-01	2.4601E-01	5.1089E-01	1.1506E-01	0.0000E+00	0.0000E+00	4.3489E-02	4.2388E-01	4.2611E-01	3.8409E-01	3.4792E-01	3.8162E-01	1.1156E+00
40-44__yrs	7.7182E-01	3.2246E-01	4.8368E-01	6.1746E-01	5.3270E-01	4.7919E-01	1.8026E-01	3.9217E-01	9.8071E-01	1.6781E-01	0.0000E+00	0.0000E+00	2.0287E-01	6.7447E-01	5.6622E-01	4.7464E-01	4.0841E-01	4.9036E-01	1.2305E+00
45-49__yrs	1.2361E+00	6.4592E-01	7.5626E-01	1.0341E+00	8.4266E-01	7.5076E-01	2.6802E-01	5.9701E-01	1.6935E+00	2.3507E-01	0.0000E+00	0.0000E+00	7.3213E-01	1.1917E+00	7.9544E-01	6.0391E-01	4.4602E-01	4.9589E-01	1.6572E+00
50-54__yrs	1.7505E+00	9.4736E-01	1.1149E+00	1.5803E+00	1.3356E+00	1.0181E+00	3.6768E-01	9.0479E-01	2.5087E+00	2.7405E-01	0.0000E+00	0.0000E+00	1.8788E+00	1.8648E+00	1.1595E+00	7.8237E-01	4.9405E-01	6.1585E-01	2.2171E+00
