SPAIN_(2003-2007)_all cancer registries__IARC_CI5-X																			
Male_rate_	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
55-59__yrs	2.0944E+00	1.2123E+00	1.4608E+00	2.1848E+00	1.8645E+00	1.3149E+00	5.6437E-01	1.1043E+00	3.3916E+00	3.7557E-01	0.0000E+00	0.0000E+00	3.2364E+00	2.5597E+00	1.4373E+00	9.7752E-01	5.5214E-01	7.5417E-01	2.8259E+00
60-64__yrs	2.3970E+00	1.5130E+00	1.9484E+00	2.9564E+00	2.4811E+00	1.7562E+00	7.6807E-01	1.5692E+00	4.2411E+00	5.2510E-01	0.0000E+00	0.0000E+00	5.1099E+00	3.3690E+00	1.7635E+00	1.3109E+00	6.9349E-01	9.3728E-01	3.4096E+00
65-69__yrs	2.7479E+00	1.6994E+00	2.4016E+00	3.8242E+00	3.0304E+00	2.3255E+00	1.1573E+00	1.9495E+00	5.3169E+00	5.3350E-01	0.0000E+00	0.0000E+00	6.9931E+00	4.3157E+00	2.0964E+00	1.4379E+00	6.4046E-01	1.2512E+00	3.8817E+00
70-74__yrs	2.6987E+00	1.7175E+00	3.0165E+00	4.6249E+00	3.4832E+00	2.5445E+00	1.3416E+00	2.1035E+00	5.8706E+00	7.1295E-01	0.0000E+00	0.0000E+00	7.9027E+00	4.8800E+00	2.4082E+00	1.5994E+00	6.5825E-01	1.4888E+00	4.3587E+00
75-79__yrs	3.1182E+00	1.9364E+00	3.9583E+00	5.9161E+00	4.2852E+00	3.2061E+00	1.9067E+00	2.6991E+00	7.3439E+00	8.5270E-01	0.0000E+00	0.0000E+00	9.1636E+00	6.3012E+00	2.9101E+00	1.9067E+00	6.5399E-01	2.1091E+00	5.4101E+00
80-84__yrs	3.8775E+00	2.4758E+00	5.4696E+00	8.4086E+00	5.6805E+00	3.9023E+00	2.7628E+00	3.8426E+00	9.5183E+00	1.1449E+00	0.0000E+00	0.0000E+00	1.0575E+01	8.7281E+00	3.9073E+00	2.3806E+00	9.8173E-01	2.9517E+00	7.7177E+00
>=85___yrs	4.8700E+00	3.4128E+00	6.8873E+00	1.0218E+01	6.8565E+00	4.9348E+00	3.8225E+00	5.0199E+00	1.1020E+01	1.3416E+00	0.0000E+00	0.0000E+00	1.3507E+01	1.1328E+01	4.2675E+00	2.8922E+00	7.9705E-01	4.0642E+00	1.0554E+01
Fem_rate__	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
00-00__yrs	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	3.1472E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.5736E-01	0.0000E+00	0.0000E+00	2.1244E+00	2.8325E+00	0.0000E+00	6.6091E+00	5.4289E+00
01-04__yrs	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	3.1472E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.5736E-01	0.0000E+00	0.0000E+00	2.1244E+00	2.8325E+00	0.0000E+00	6.6091E+00	5.4289E+00
05-09__yrs	8.2853E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	3.3141E-01	0.0000E+00	8.2853E-02	7.4568E-01	2.4027E+00	8.2853E-02	3.3141E+00	1.2428E+00
10-14__yrs	2.4100E-01	0.0000E+00	8.0335E-02	8.0335E-02	0.0000E+00	8.0335E-02	8.0335E-02	0.0000E+00	0.0000E+00	0.0000E+00	8.0335E-02	4.0167E-01	0.0000E+00	1.6067E-01	8.0335E-02	1.3657E+00	8.0335E-01	2.9724E+00	3.7757E+00
15-19__yrs	5.0754E-01	0.0000E+00	7.2506E-02	1.4501E-01	7.2506E-02	7.2506E-02	0.0000E+00	0.0000E+00	0.0000E+00	7.2506E-02	0.0000E+00	7.9756E-01	0.0000E+00	3.6253E-01	0.0000E+00	1.8126E+00	2.0302E+00	2.3927E+00	5.3654E+00
20-24__yrs	5.1592E-01	0.0000E+00	5.7325E-02	2.2930E-01	1.1465E-01	1.1465E-01	0.0000E+00	1.7197E-01	1.7197E-01	1.0892E+00	9.7452E-01	1.7197E+00	0.0000E+00	2.2930E-01	5.7325E-02	1.7197E+00	4.8153E+00	1.8344E+00	6.1337E+00
25-29__yrs	6.4583E-01	0.0000E+00	3.2291E-01	6.9196E-01	4.6130E-01	2.3065E-01	4.6130E-02	2.7678E-01	4.6130E-01	6.6428E+00	2.5833E+00	1.7530E+00	0.0000E+00	5.9970E-01	4.6130E-01	1.8452E+00	5.8124E+00	1.5223E+00	9.3183E+00
30-34__yrs	5.8119E-01	8.9414E-02	1.2071E+00	1.6542E+00	1.2518E+00	4.0236E-01	8.9414E-02	4.9178E-01	1.4753E+00	2.1459E+01	8.0473E+00	2.7271E+00	0.0000E+00	9.8356E-01	9.8356E-01	2.3695E+00	9.4332E+00	2.2801E+00	1.3412E+01
35-39__yrs	1.5707E+00	1.3859E-01	2.3098E+00	4.3425E+00	2.2636E+00	5.5436E-01	2.7718E-01	6.0056E-01	3.2338E+00	5.7376E+01	1.6862E+01	5.7746E+00	0.0000E+00	1.3397E+00	1.5245E+00	2.3098E+00	1.1826E+01	2.6332E+00	1.7647E+01
40-44__yrs	3.7471E+00	4.3235E-01	3.3628E+00	9.1275E+00	5.8128E+00	1.0569E+00	3.8431E-01	2.1618E+00	1.2106E+01	1.1304E+02	2.0993E+01	9.8000E+00	0.0000E+00	3.6029E+00	3.0745E+00	3.3628E+00	1.3547E+01	2.9784E+00	2.3443E+01
45-49__yrs	6.1273E+00	1.4386E+00	6.8200E+00	1.7050E+01	8.6848E+00	1.4919E+00	1.1189E+00	2.9837E+00	2.2485E+01	1.7098E+02	3.3940E+01	1.5132E+01	0.0000E+00	5.7544E+00	5.2748E+00	6.1806E+00	1.4226E+01	3.6231E+00	3.1329E+01
50-54__yrs	9.3956E+00	1.5966E+00	8.8429E+00	3.0582E+01	1.7256E+01	2.2107E+00	1.8423E+00	6.2637E+00	2.7143E+01	1.8079E+02	5.4593E+01	2.1677E+01	0.0000E+00	9.5798E+00	7.4305E+00	7.0620E+00	1.5844E+01	5.4040E+00	3.9547E+01
55-59__yrs	1.1077E+01	2.6374E+00	1.1803E+01	4.1276E+01	2.4067E+01	5.5386E+00	5.2089E+00	1.0550E+01	2.3605E+01	1.8614E+02	7.4837E+01	2.5913E+01	0.0000E+00	1.1473E+01	1.1473E+01	1.0022E+01	1.4704E+01	6.1980E+00	4.6881E+01
60-64__yrs	1.0793E+01	2.4322E+00	1.5885E+01	5.9589E+01	3.1314E+01	8.7407E+00	6.8405E+00	1.6037E+01	2.7514E+01	2.0651E+02	7.8970E+01	2.5842E+01	0.0000E+00	1.5201E+01	1.3833E+01	1.1781E+01	1.6037E+01	7.9806E+00	5.8677E+01
65-69__yrs	1.2525E+01	2.3740E+00	2.3904E+01	8.1291E+01	4.1259E+01	1.3016E+01	1.1461E+01	2.6115E+01	3.0208E+01	1.9156E+02	8.6448E+01	2.9225E+01	0.0000E+00	1.9811E+01	1.5554E+01	1.6291E+01	1.2198E+01	9.6599E+00	7.1140E+01
70-74__yrs	1.6103E+01	2.9000E+00	3.8006E+01	1.1386E+02	5.2277E+01	2.3429E+01	2.0377E+01	3.5182E+01	3.8158E+01	1.9308E+02	8.4025E+01	3.4724E+01	0.0000E+00	3.4572E+01	2.1216E+01	1.9613E+01	1.1448E+01	1.4577E+01	9.1580E+01
75-79__yrs	2.0661E+01	5.6996E+00	5.4680E+01	1.4952E+02	6.7593E+01	3.0457E+01	3.0012E+01	4.3815E+01	3.9719E+01	2.1338E+02	8.5760E+01	3.4999E+01	0.0000E+00	4.4528E+01	3.1080E+01	2.1997E+01	8.2822E+00	1.8256E+01	1.2655E+02
80-84__yrs	2.1381E+01	6.3534E+00	7.7706E+01	1.8681E+02	7.8562E+01	3.1156E+01	3.8731E+01	5.6447E+01	4.4596E+01	2.3006E+02	7.9295E+01	3.8731E+01	0.0000E+00	5.6325E+01	2.8346E+01	1.8205E+01	8.4304E+00	2.3459E+01	1.6897E+02
>=85___yrs	2.7642E+01	7.6702E+00	8.2057E+01	2.0087E+02	6.6572E+01	4.1969E+01	4.4430E+01	7.6124E+01	4.5732E+01	2.2128E+02	6.2086E+01	3.4588E+01	0.0000E+00	6.5269E+01	2.4747E+01	1.5340E+01	7.2361E+00	3.0247E+01	2.3344E+02
Fem_se____	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
00-00__yrs	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.5736E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.1127E-01	0.0000E+00	0.0000E+00	4.0883E-01	4.7208E-01	0.0000E+00	7.2112E-01	6.5357E-01
01-04__yrs	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.5736E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.1127E-01	0.0000E+00	0.0000E+00	4.0883E-01	4.7208E-01	0.0000E+00	7.2112E-01	6.5357E-01
05-09__yrs	8.2853E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.6571E-01	0.0000E+00	8.2853E-02	2.4856E-01	4.4618E-01	8.2853E-02	5.2401E-01	3.2089E-01
10-14__yrs	1.3914E-01	0.0000E+00	8.0335E-02	8.0335E-02	0.0000E+00	8.0335E-02	8.0335E-02	0.0000E+00	0.0000E+00	0.0000E+00	8.0335E-02	1.7963E-01	0.0000E+00	1.1361E-01	8.0335E-02	3.3123E-01	2.5404E-01	4.8866E-01	5.5075E-01
15-19__yrs	1.9183E-01	0.0000E+00	7.2506E-02	1.0254E-01	7.2506E-02	7.2506E-02	0.0000E+00	0.0000E+00	0.0000E+00	7.2506E-02	0.0000E+00	2.4047E-01	0.0000E+00	1.6213E-01	0.0000E+00	3.6253E-01	3.8366E-01	4.1651E-01	6.2372E-01
20-24__yrs	1.7197E-01	0.0000E+00	5.7325E-02	1.1465E-01	8.1069E-02	8.1069E-02	0.0000E+00	9.9289E-02	9.9289E-02	2.4987E-01	2.3636E-01	3.1398E-01	0.0000E+00	1.1465E-01	5.7325E-02	3.1398E-01	5.2539E-01	3.2428E-01	5.9297E-01
25-29__yrs	1.7260E-01	0.0000E+00	1.2205E-01	1.7866E-01	1.4588E-01	1.0315E-01	4.6130E-02	1.1300E-01	1.4588E-01	5.5356E-01	3.4521E-01	2.8437E-01	0.0000E+00	1.6633E-01	1.4588E-01	2.9175E-01	5.1781E-01	2.6500E-01	6.5564E-01
30-34__yrs	1.6119E-01	6.3226E-02	2.3231E-01	2.7194E-01	2.3657E-01	1.3412E-01	6.3226E-02	1.4828E-01	2.5682E-01	9.7949E-01	5.9981E-01	3.4917E-01	0.0000E+00	2.0970E-01	2.0970E-01	3.2547E-01	6.4941E-01	3.1927E-01	7.7435E-01
35-39__yrs	2.6937E-01	8.0015E-02	3.2666E-01	4.4789E-01	3.2338E-01	1.6003E-01	1.1316E-01	1.6656E-01	3.8651E-01	1.6281E+00	8.8259E-01	5.1650E-01	0.0000E+00	2.4878E-01	2.6538E-01	3.2666E-01	7.3915E-01	3.4878E-01	9.0291E-01
40-44__yrs	4.2427E-01	1.4412E-01	4.0193E-01	6.6218E-01	5.2843E-01	2.2532E-01	1.3588E-01	3.2226E-01	7.6260E-01	2.3303E+00	1.0042E+00	6.8614E-01	0.0000E+00	4.1603E-01	3.8431E-01	4.0193E-01	8.0672E-01	3.7826E-01	1.0612E+00
45-49__yrs	5.7138E-01	2.7686E-01	6.0281E-01	9.5312E-01	6.8025E-01	2.8194E-01	2.4416E-01	3.9872E-01	1.0945E+00	3.0183E+00	1.3448E+00	8.9791E-01	0.0000E+00	5.5371E-01	5.3014E-01	5.7385E-01	8.7062E-01	4.3937E-01	1.2920E+00
50-54__yrs	7.5959E-01	3.1313E-01	7.3691E-01	1.3704E+00	1.0294E+00	3.6845E-01	3.3635E-01	6.2020E-01	1.2910E+00	3.3320E+00	1.8310E+00	1.1538E+00	0.0000E+00	7.6700E-01	6.7550E-01	6.5854E-01	9.8637E-01	5.7607E-01	1.5584E+00
55-59__yrs	8.5463E-01	4.1702E-01	8.8216E-01	1.6497E+00	1.2597E+00	6.0431E-01	5.8605E-01	8.3403E-01	1.2476E+00	3.5033E+00	2.2214E+00	1.3071E+00	0.0000E+00	8.6976E-01	8.6976E-01	8.1291E-01	9.8463E-01	6.3927E-01	1.7582E+00
60-64__yrs	9.0572E-01	4.2996E-01	1.0988E+00	2.1282E+00	1.5428E+00	8.1507E-01	7.2106E-01	1.1041E+00	1.4461E+00	3.9618E+00	2.4499E+00	1.4015E+00	0.0000E+00	1.0749E+00	1.0254E+00	9.4627E-01	1.1041E+00	7.7883E-01	2.1118E+00
65-69__yrs	1.0126E+00	4.4085E-01	1.3989E+00	2.5797E+00	1.8378E+00	1.0323E+00	9.6862E-01	1.4621E+00	1.5725E+00	3.9600E+00	2.6603E+00	1.5468E+00	0.0000E+00	1.2735E+00	1.1284E+00	1.1548E+00	9.9927E-01	8.8927E-01	2.4132E+00
70-74__yrs	1.1086E+00	4.7045E-01	1.7031E+00	2.9478E+00	1.9974E+00	1.3372E+00	1.2470E+00	1.6386E+00	1.7065E+00	3.8387E+00	2.5323E+00	1.6279E+00	0.0000E+00	1.6243E+00	1.2725E+00	1.2235E+00	9.3469E-01	1.0547E+00	2.6437E+00
75-79__yrs	1.3565E+00	7.1244E-01	2.2067E+00	3.6491E+00	2.4535E+00	1.6469E+00	1.6348E+00	1.9753E+00	1.8807E+00	4.3592E+00	2.7636E+00	1.7655E+00	0.0000E+00	1.9913E+00	1.6637E+00	1.3996E+00	8.5882E-01	1.2751E+00	3.3571E+00
80-84__yrs	1.6163E+00	8.8105E-01	3.0813E+00	4.7775E+00	3.0982E+00	1.9511E+00	2.1754E+00	2.6262E+00	2.3342E+00	5.3018E+00	3.1126E+00	2.1754E+00	0.0000E+00	2.6233E+00	1.8610E+00	1.4914E+00	1.0149E+00	1.6930E+00	4.5437E+00
>=85___yrs	2.0001E+00	1.0536E+00	3.4461E+00	5.3917E+00	3.1039E+00	2.4645E+00	2.5357E+00	3.3191E+00	2.5726E+00	5.6590E+00	2.9975E+00	2.2373E+00	0.0000E+00	3.0734E+00	1.8925E+00	1.4900E+00	1.0233E+00	2.0922E+00	5.8123E+00
